order_id,order_date,city,restaurant,customer_id,order_value,delivery_time,delivery_status,payment_method,delivery_speed,high_value_order
1001,01-01-2024,Bangalore,Foodies Hub,C101,450,32.0,Delivered,UPI,Normal,No
1001,01-01-2024,Hyderabad,Spice Villa,C102,300,45.0,Delivered,Cash,Normal,No
1001,02-01-2024,Bangalore,Urban Bites,C103,299,60.0,Late,Card,Late,No
1001,02-01-2024,Chennai,Foodies Hub,C104,520,,Delivered,UPI,Late,Yes
1001,03-01-2024,Hyderabad,Spice Villa,C105,180,28.0,Delivered,,Fast,No
1001,03-01-2024,Bangalore,Urban Bites,C106,2501,55.0,Late,Card,Late,Yes
1001,04-01-2024,Chennai,Tasty Treats,C107,650,35.0,Delivered,Cash,Normal,Yes
1001,04-01-2024,Bangalore,Foodies Hub,C108,390,70.0,Late,UPI,Late,No
1001,05-01-2024,Hyderabad,Spice Villa,C109,250,40.0,Delivered,Card,Normal,No
1001,05-01-2024,Chennai,Tasty Treats,C110,300,30.0,Delivered,Cash,Fast,No
1001,06-01-2024,Bangalore,Urban Bites,C111,555,50.0,Late,UPI,Late,Yes
1001,06-01-2024,Hyderabad,Spice Villa,C112,400,45.0,Delivered,Cash,Normal,No
1001,07-01-2024,Chennai,Foodies Hub,C113,350,25.0,Delivered,Card,Fast,No
1001,07-01-2024,Bangalore,Urban Bites,C114,895,60.0,Late,UPI ,Late,Yes
1001,08-01-2024,Hyderabad,Spice Villa,C115,220,30.0,Delivered,Cash,Fast,No
1001,08-01-2024,Chennai,Tasty Treats,C116,480,40.0,Delivered,Card,Normal,No
1001,09-01-2024,Bangalore,Foodies Hub,C117,569,55.0,Late,UPI,Late,Yes
1001,09-01-2024,Hyderabad,Spice Villa,C118,350,35.0,Delivered,Cash,Normal,No
1001,10-01-2024,Chennai,Tasty Treats,C119,600,45.0,Delivered,Card  ,Normal,Yes
